event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR23776,06/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23777,06/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.1269,37.7527,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23774,06/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.6298,37.7563,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23770,05/08/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Military Forces of Ukraine (2014-2019),48.0675,37.7919,1,Unidentified Armed Group (Ukraine) - Military Forces of Ukraine (2014-2019)
UKR23736,04/08/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Ukraine),Civilians (Ukraine),48.015,37.8014,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR23682,02/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.3986,38.3549,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR23568,28/07/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),47.7165,35.2086,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR23510,25/07/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),48.4292,38.0094,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR23454,22/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.4046,38.0817,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR23431,21/07/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Ukraine),Civilians (Ukraine),51.5196,30.7343,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR23428,21/07/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.7412,39.2354,2,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23382,20/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,47.9225,37.571,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR23356,20/07/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2014-2019),Civilians (Ukraine),48.6295,38.549,1,Military Forces of Ukraine (2014-2019) - Civilians (Ukraine)
RUS2816,20/07/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Russia),Civilians (Russia),59.931,30.3049,1,Unidentified Armed Group (Russia) - Civilians (Russia)
UKR23302,19/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.0987,37.8199,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23310,19/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.006,37.5097,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23303,19/07/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.6298,37.7563,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23279,18/07/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2014-2019),Civilians (Ukraine),48.0533,37.7098,1,Military Forces of Ukraine (2014-2019) - Civilians (Ukraine)
UKR23422,16/07/2019 00:00,2019,Violence against civilians,Police Forces of Ukraine (2014-2019),Civilians (Ukraine),48.5153,32.2545,1,Police Forces of Ukraine (2014-2019) - Civilians (Ukraine)
UKR23133,15/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.1394,37.7497,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23103,14/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.079,37.7635,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR23039,13/07/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),50.2383,25.7628,2,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
RUS2855,12/07/2019 00:00,2019,Battles,Unidentified Armed Group (Ukraine),Military Forces of Russia (2000-) National Guard,67.4554,153.7062,2,Unidentified Armed Group (Ukraine) - Military Forces of Russia (2000-) National Guard
RUS2766,12/07/2019 00:00,2019,Battles,Police Forces of Russia (2000-) Federal Security Service,Islamic State (Russia),47.5614,39.5896,1,Police Forces of Russia (2000-) Federal Security Service - Islamic State (Russia)
UKR22912,11/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.8051,37.5769,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22920,11/07/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.3159,37.8086,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22928,11/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.4046,38.0817,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22844,10/07/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.9425,37.505,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22804,09/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.416,38.1346,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22738,08/07/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),50.4696,30.3382,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR22695,07/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.0987,37.8199,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22705,07/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.3435,37.942,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22590,05/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.4292,38.0094,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
