"","X.2","X.1","X","id","year","date_start","conflict_name","dyad_name","longitude","latitude","where_prec","priogrid_gid","country","country_id","deaths_a","deaths_b","deaths_civilians","deaths_unknown","side_a_new_id","side_a","side_a_relevant","side_b_new_id","side_b","side_b_relevant","deaths_battle","deaths_total","event_relevant","event_civilians","event_community","event_rel_out"
"2370",2370,2370,2370,232106,2016,"2016-11-03","Nigeria: Islamic State","Government of Nigeria - IS",13.61727,12.57852,3,147988,"Nigeria",475,0,2,0,0,84,"Government of Nigeria",1,234,"IS",1,2,2,1,0,0,0
"2371",2371,2371,2371,232107,2016,"2016-11-03","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.50868,11.10682,1,145828,"Nigeria",475,1,5,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,6,6,1,0,0,0
"2372",2372,2372,2372,232108,2016,"2016-11-04","Nigeria: Islamic State","Government of Nigeria - IS",13.3388,13.6734,1,149427,"Nigeria",475,8,14,0,0,84,"Government of Nigeria",1,234,"IS",1,22,22,1,0,0,0
"2373",2373,2373,2373,232109,2016,"2016-11-04","Nigeria: Islamic State","Government of Nigeria - IS",13.31319,13.43162,3,148707,"Nigeria",475,1,5,0,0,84,"Government of Nigeria",1,234,"IS",1,6,6,1,0,0,0
"2374",2374,2374,2374,232113,2016,"2016-11-06","Nigeria: Islamic State","Government of Nigeria - IS",13.60899,12.96309,3,147988,"Nigeria",475,1,13,0,0,84,"Government of Nigeria",1,234,"IS",1,14,14,1,0,0,0
"2375",2375,2375,2375,232114,2016,"2016-11-08","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",14.187145,11.309954,5,145829,"Nigeria",475,2,0,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"2376",2376,2376,2376,232115,2016,"2016-11-08","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.15166,11.83537,3,146547,"Nigeria",475,0,0,4,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,4,0,1,0,0
"2377",2377,2377,2377,232117,2016,"2016-11-10","Cameroon:Government","Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",14.09262,11.16888,2,145829,"Cameroon",471,1,0,0,0,83,"Government of Cameroon",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,1,1,0,0,0
"2378",2378,2378,2378,232118,2016,"2016-11-10","Cameroon:Government","Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.93389,11.11436,1,145828,"Cameroon",471,0,2,0,0,83,"Government of Cameroon",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"2379",2379,2379,2379,232120,2016,"2016-11-14","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.14615,10.83374,1,145107,"Nigeria",475,0,0,2,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,2,0,1,0,0
